source,target,value
Clinton,Hillary_Rodham_Clinton,99
Daniel_Patrick_Moynihan,Hillary_Rodham_Clinton,98
Chelsea_Clinton,Hillary_Rodham_Clinton,956
Democratic_Party_presidential_primaries,Hillary_Rodham_Clinton,95
Papua_New_Guinea,Hillary_Rodham_Clinton,90
Mary_Steenburgen,Hillary_Rodham_Clinton,90
Whitewater_controversy,Hillary_Rodham_Clinton,85
Gallup's_most_admired_man_and_woman_poll,Hillary_Rodham_Clinton,85
Susan_Rice,Hillary_Rodham_Clinton,83
Akihito,Hillary_Rodham_Clinton,80
Edmund_Hillary,Hillary_Rodham_Clinton,79
President_of_the_United_States,Hillary_Rodham_Clinton,78
other-empty,Hillary_Rodham_Clinton,7702
Little_Rock,Hillary_Rodham_Clinton,77
other-twitter,Hillary_Rodham_Clinton,75
Aamir_Khan,Hillary_Rodham_Clinton,74
Married_and_maiden_names,Hillary_Rodham_Clinton,71
Bill_Clinton,Hillary_Rodham_Clinton,7099
Claire_Underwood,Hillary_Rodham_Clinton,70
Bernie_Sanders,Hillary_Rodham_Clinton,69
Presidency_of_Barack_Obama,Hillary_Rodham_Clinton,68
Ellen_DeGeneres,Hillary_Rodham_Clinton,67
Statewide_opinion_polling_for_the_United_States_presidential_election,Hillary_Rodham_Clinton,66
Scott_Walker_(politician),Hillary_Rodham_Clinton,65
John_McCain,Hillary_Rodham_Clinton,64
Jayalalithaa,Hillary_Rodham_Clinton,63
Nina_Hartley,Hillary_Rodham_Clinton,62
Wellesley_College,Hillary_Rodham_Clinton,62
Al_Gore,Hillary_Rodham_Clinton,61
Sarah_Palin,Hillary_Rodham_Clinton,61
Xi_Jinping,Hillary_Rodham_Clinton,60
Political_positions_of_Hillary_Rodham_Clinton,Hillary_Rodham_Clinton,58
Vladimir_Putin,Hillary_Rodham_Clinton,58
Robert_De_Niro,Hillary_Rodham_Clinton,57
Huma_Abedin,Hillary_Rodham_Clinton,55
Vince_Foster,Hillary_Rodham_Clinton,54
John_F._Kennedy_Jr.,Hillary_Rodham_Clinton,54
other-internal,Hillary_Rodham_Clinton,54
Iron_Lady,Hillary_Rodham_Clinton,53
Rosalynn_Carter,Hillary_Rodham_Clinton,52
Samantha_Power,Hillary_Rodham_Clinton,52
Oprah_Winfrey,Hillary_Rodham_Clinton,52
